;YERR;PCR;GCR;ITR;XTR;MTR;YED;PCD;GCD;ITD;XTD;MTD;YFD;YIN;WIN;GON;TIN;YFN;HICP;HEX;HEG;HICPSA;HEXSA;HEGWEI;CAN_YEN;NFN_YEN;LFN;LNN;UNN;URX;LEN;STN;LTN;COMPR;POILU;PCOMU;YWD;YWDX;YWR;YWRX;LPROD;ULC;WRN;SAX;EEN;EXR
1972Q3;825746.432927195;465290.382807610;147551.884645390;221903.034961594;123947.271553072;128405.356478029;0.192962247;0.193545242;0.175086257;0.198477513;0.245990750;0.240781608;0.170851271;159337.887186413;82496.727264852;58583.100363020;18258.059558540;141079.827627872;23.137480435;NA;NA;NA;NA;NA;NA;NA;125079.942225192;122574.684542697;2505.257682495;0.020029252;96529.206118168;4.857332855;7.582787000;9.402875509;3.620000000;39.363060686;0.261342041;0.305685711;56.846891170;17970.229286546;6.736680058;0.099905642;0.673032344;0.292302967;1.452458644;0.892827420
1972Q4;837833.921684118;469991.271234225;149199.165400787;227179.382090528;129919.913967402;132783.485259729;0.196483184;0.197203571;0.176505200;0.200947436;0.254799364;0.246574828;0.174255281;164620.276773605;85284.478442524;60712.507037117;18623.291293964;145996.985479641;23.613430027;NA;NA;NA;NA;NA;NA;NA;125442.365536374;122978.150443708;2464.215092665;0.019644201;97134.837419910;6.394842968;7.814683000;9.776211491;3.620000000;43.387398894;0.267141752;0.314871094;57.858063215;18232.665554634;6.812868129;0.101791627;0.693492935;0.299884233;1.451429944;0.903780556
1973Q1;853964.259559368;479829.941484177;152044.345801254;231960.047645804;130784.364949155;135216.259348645;0.202735366;0.201261247;0.186543893;0.207314567;0.258666420;0.252990811;0.179851222;173128.756746147;89928.492530407;63658.022695915;19542.241519824;153586.515226323;24.110070342;NA;NA;NA;NA;NA;NA;NA;125758.855904673;123382.240744415;2376.615160259;0.018898193;97641.949695949;6.791362777;7.975847000;10.771390562;3.780000000;51.813357280;0.272306562;0.318336972;59.894447055;18772.299918869;6.921289923;0.105307092;0.728860912;0.296007007;1.430714214;0.865006786
1973Q2;864318.533649238;484725.883331019;152852.271130784;232187.646606433;137405.563932495;139062.320140446;0.207633401;0.206787956;0.188435227;0.214098851;0.260827276;0.261254229;0.184314013;179461.396456082;93307.139574084;65998.877450458;20155.379431541;159306.017024542;24.694433085;NA;NA;NA;NA;NA;NA;NA;126646.567844228;123984.323868678;2662.243975549;0.021021051;98155.774071191;8.485433372;8.305181000;12.046343595;4.096670000;60.742357492;0.276273839;0.318595120;60.290583570;18941.743294981;6.971192056;0.107954575;0.752572073;0.292276745;1.395506629;0.816771046
1973Q3;876187.782380581;487227.512967258;153432.824998942;233455.840506141;139384.390999713;144377.756258350;0.213333868;0.212346402;0.195447784;0.221388936;0.273954185;0.269239346;0.189669542;186920.528655001;97373.227399675;68812.907956982;20734.393298344;166186.135356657;25.195933985;NA;NA;NA;NA;NA;NA;NA;126866.271720712;124460.578598818;2405.693121894;0.018962433;98659.488243117;10.211200035;8.601933000;13.684959513;4.526670000;71.935048321;0.282214927;0.321563344;60.095020450;19045.272608598;7.039881963;0.111132829;0.782362002;0.294802674;1.298891360;0.768044830
1973Q4;885761.097638970;492067.952269294;155903.036791999;234167.291562180;139255.759008311;146112.240695452;0.217921605;0.219103056;0.201431107;0.228519533;0.287596379;0.287696343;0.193770021;193026.480106858;101576.084142678;70057.861945818;21392.534018362;171633.946088496;25.858817726;NA;NA;NA;NA;NA;NA;NA;127184.132534431;124736.734802180;2447.397732252;0.019242949;98995.363683485;11.082562958;8.715926000;13.975620362;4.600000000;74.010099752;0.292525258;0.338394163;60.452359425;19178.865591953;7.101044444;0.114676615;0.814323738;0.293571960;1.323494197;0.803514045
1974Q1;894530.878630048;492578.546779085;158366.575372285;233365.196024085;147061.850947593;144943.613277453;0.225308635;0.227222801;0.210289799;0.239142261;0.309333050;0.335746621;0.200819675;201545.531115013;105929.858689796;73709.541782905;21906.130642313;179639.400472700;26.742569759;NA;NA;NA;NA;NA;NA;NA;127325.546131954;124816.664411774;2508.881720180;0.019704465;99221.376066232;11.226946359;9.340291000;30.253690765;15.500000000;82.498938666;0.298743973;0.362813302;59.446873743;19147.579809677;7.166758404;0.118419455;0.848683621;0.289783102;1.382842574;0.866909238
1974Q2;896149.505646831;497236.059813776;159875.924566978;227163.446005825;143805.012782006;144551.086258230;0.233204510;0.235854010;0.218426186;0.249971676;0.331148447;0.368016898;0.207547096;208986.106393404;111461.637186701;74531.590451377;22992.878755326;185993.227638078;27.641467270;NA;NA;NA;NA;NA;NA;NA;127243.854462265;124696.328394970;2547.526067295;0.020020818;99329.009999312;11.465486577;10.064460000;27.650155052;13.000000000;85.768714135;0.311529954;0.381626151;60.160676352;19327.519487220;7.186655110;0.124378395;0.893864628;0.292712366;1.358516131;0.828946612
1974Q3;902254.445903191;500463.003355652;161181.293115312;227376.355177136;148585.713608913;148828.087732449;0.241504467;0.243269760;0.225999762;0.261532811;0.344955830;0.381623168;0.216112990;217898.479366421;115778.152713086;79210.752945207;22909.573708128;194988.905658293;28.451096121;NA;NA;NA;NA;NA;NA;NA;127313.369324302;124571.730457384;2741.638866919;0.021534572;99226.089843566;11.524151691;10.697890000;25.392816255;11.500000000;83.316384332;0.322664792;0.396788856;60.117487619;19380.550587059;7.242850706;0.128320956;0.929409524;0.293794042;1.359894533;0.838653680
1974Q4;887877.739418852;495647.952287302;162798.863463852;220686.880352368;143856.371935541;138114.832839594;0.249643482;0.251918134;0.234378337;0.270398421;0.358038114;0.391153235;0.223925763;221652.890177373;120814.241988431;78004.457836739;22834.190352203;198818.699825170;29.369092145;NA;NA;NA;NA;NA;NA;NA;127560.092079340;124240.531581142;3319.560498198;0.026023503;99003.645448223;10.659780150;10.587160000;26.024688534;11.700000000;86.334635290;0.337613298;0.410690661;59.258132344;18929.866617331;7.146441891;0.136070809;0.972422127;0.295145716;1.339605757;0.825004699
